est.E_PC1,est.Spatial,est.beta,E_PC1,Spatial,BD
-3.206971455,-2.257141667,0.01379142,,,
-3.124240313,-2.257141667,0.013705645,,,
-3.041509172,-2.257141667,0.013620402,,,
-2.95877803,-2.257141667,0.01353569,,,
-2.876046889,-2.257141667,0.013451505,,,
-2.793315747,-2.257141667,0.013367843,,,
-2.710584606,-2.257141667,0.013284702,,,
-2.627853465,-2.257141667,0.013202077,,,
-2.545122323,-2.257141667,0.013119967,,,
-2.462391182,-2.257141667,0.013038367,,,
-2.37966004,-2.257141667,0.012957275,,,
-2.296928899,-2.257141667,0.012876687,,,
-2.214197758,-2.257141667,0.012796601,,,
-2.131466616,-2.257141667,0.012717012,,,
-2.048735475,-2.257141667,0.012637919,,,
-1.966004333,-2.257141667,0.012559317,,,
-1.883273192,-2.257141667,0.012481204,,,
-1.800542051,-2.257141667,0.012403577,,,
-1.717810909,-2.257141667,0.012326433,,,
-1.635079768,-2.257141667,0.012249769,,,
-1.552348626,-2.257141667,0.012173581,,,
-1.469617485,-2.257141667,0.012097868,,,
-1.386886343,-2.257141667,0.012022625,,,
-1.304155202,-2.257141667,0.01194785,,,
-1.221424061,-2.257141667,0.01187354,,,
-1.138692919,-2.257141667,0.011799693,,,
-1.055961778,-2.257141667,0.011726305,,,
-0.973230636,-2.257141667,0.011653373,,,
-0.890499495,-2.257141667,0.011580895,,,
-0.807768354,-2.257141667,0.011508867,,,
-0.725037212,-2.257141667,0.011437288,,,
-0.642306071,-2.257141667,0.011366153,,,
-0.559574929,-2.257141667,0.011295461,,,
-0.476843788,-2.257141667,0.011225209,,,
-0.394112646,-2.257141667,0.011155394,,,
-0.311381505,-2.257141667,0.011086013,,,
-0.228650364,-2.257141667,0.011017063,,,
-0.145919222,-2.257141667,0.010948543,,,
-0.063188081,-2.257141667,0.010880448,,,
0.019543061,-2.257141667,0.010812777,,,
0.102274202,-2.257141667,0.010745527,,,
0.185005343,-2.257141667,0.010678695,,,
0.267736485,-2.257141667,0.010612279,,,
0.350467626,-2.257141667,0.010546276,,,
0.433198768,-2.257141667,0.010480683,,,
0.515929909,-2.257141667,0.010415499,,,
0.598661051,-2.257141667,0.010350719,,,
0.681392192,-2.257141667,0.010286343,,,
0.764123333,-2.257141667,0.010222367,,,
0.846854475,-2.257141667,0.010158789,,,
0.929585616,-2.257141667,0.010095606,,,
1.012316758,-2.257141667,0.010032817,,,
1.095047899,-2.257141667,0.009970417,,,
1.17777904,-2.257141667,0.009908406,,,
1.260510182,-2.257141667,0.009846781,,,
1.343241323,-2.257141667,0.009785539,,,
1.425972465,-2.257141667,0.009724678,,,
1.508703606,-2.257141667,0.009664195,,,
1.591434747,-2.257141667,0.009604088,,,
1.674165889,-2.257141667,0.009544356,,,
1.75689703,-2.257141667,0.009484995,,,
1.839628172,-2.257141667,0.009426003,,,
1.922359313,-2.257141667,0.009367378,,,
2.005090455,-2.257141667,0.009309117,,,
2.087821596,-2.257141667,0.009251219,,,
2.170552737,-2.257141667,0.009193681,,,
2.253283879,-2.257141667,0.009136501,,,
2.33601502,-2.257141667,0.009079676,,,
2.418746162,-2.257141667,0.009023205,,,
2.501477303,-2.257141667,0.008967085,,,
2.584208444,-2.257141667,0.008911314,,,
2.666939586,-2.257141667,0.00885589,,,
2.749670727,-2.257141667,0.008800811,,,
2.832401869,-2.257141667,0.008746075,,,
2.91513301,-2.257141667,0.008691678,,,
2.997864152,-2.257141667,0.00863762,,,
3.080595293,-2.257141667,0.008583899,,,
3.163326434,-2.257141667,0.008530511,,,
3.246057576,-2.257141667,0.008477455,,,
3.328788717,-2.257141667,0.00842473,,,
3.411519859,-2.257141667,0.008372332,,,
3.494251,-2.257141667,0.00832026,,,
-4.696132,-2.162239333,0.015090702,,,
-4.613400859,-2.162239333,0.015000554,,,
-4.530669717,-2.162239333,0.014910945,,,
-4.447938576,-2.162239333,0.014821871,,,
-4.365207434,-2.162239333,0.01473333,,,
-4.282476293,-2.162239333,0.014645317,,,
-4.199745152,-2.162239333,0.01455783,,,
-4.11701401,-2.162239333,0.014470865,,,
-4.034282869,-2.162239333,0.014384421,,,
-3.951551727,-2.162239333,0.014298492,,,
-3.868820586,-2.162239333,0.014213077,,,
-3.786089444,-2.162239333,0.014128172,,,
-3.703358303,-2.162239333,0.014043774,,,
-3.620627162,-2.162239333,0.013959881,,,
-3.53789602,-2.162239333,0.013876488,,,
-3.455164879,-2.162239333,0.013793594,,,
-3.372433737,-2.162239333,0.013711195,,,
-3.289702596,-2.162239333,0.013629288,,,
-3.206971455,-2.162239333,0.013547871,,,
-3.124240313,-2.162239333,0.013466939,,,
-3.041509172,-2.162239333,0.013386492,,,
-2.95877803,-2.162239333,0.013306524,,,
-2.876046889,-2.162239333,0.013227035,,,
-2.793315747,-2.162239333,0.01314802,,,
-2.710584606,-2.162239333,0.013069478,,,
-2.627853465,-2.162239333,0.012991404,,,
-2.545122323,-2.162239333,0.012913797,,,
-2.462391182,-2.162239333,0.012836654,,,
-2.37966004,-2.162239333,0.012759971,,,
-2.296928899,-2.162239333,0.012683747,,,
-2.214197758,-2.162239333,0.012607978,,,
-2.131466616,-2.162239333,0.012532661,,,
-2.048735475,-2.162239333,0.012457795,,,
-1.966004333,-2.162239333,0.012383375,,,
-1.883273192,-2.162239333,0.012309401,,,
-1.800542051,-2.162239333,0.012235868,,,
-1.717810909,-2.162239333,0.012162774,,,
-1.635079768,-2.162239333,0.012090117,,,
-1.552348626,-2.162239333,0.012017894,,,
-1.469617485,-2.162239333,0.011946102,,,
-1.386886343,-2.162239333,0.01187474,,,
-1.304155202,-2.162239333,0.011803803,,,
-1.221424061,-2.162239333,0.011733291,,,
-1.138692919,-2.162239333,0.011663199,,,
-1.055961778,-2.162239333,0.011593527,,,
-0.973230636,-2.162239333,0.01152427,,,
-0.890499495,-2.162239333,0.011455428,,,
-0.807768354,-2.162239333,0.011386996,,,
-0.725037212,-2.162239333,0.011318973,,,
-0.642306071,-2.162239333,0.011251357,,,
-0.559574929,-2.162239333,0.011184144,,,
-0.476843788,-2.162239333,0.011117334,,,
-0.394112646,-2.162239333,0.011050922,,,
-0.311381505,-2.162239333,0.010984907,,,
-0.228650364,-2.162239333,0.010919286,,,
-0.145919222,-2.162239333,0.010854057,,,
-0.063188081,-2.162239333,0.010789218,,,
0.019543061,-2.162239333,0.010724766,,,
0.102274202,-2.162239333,0.010660699,,,
0.185005343,-2.162239333,0.010597015,,,
0.267736485,-2.162239333,0.010533712,,,
0.350467626,-2.162239333,0.010470786,,,
0.433198768,-2.162239333,0.010408237,,,
0.515929909,-2.162239333,0.010346061,,,
0.598661051,-2.162239333,0.010284256,,,
0.681392192,-2.162239333,0.010222821,,,
0.764123333,-2.162239333,0.010161753,,,
0.846854475,-2.162239333,0.010101049,,,
0.929585616,-2.162239333,0.010040709,,,
1.012316758,-2.162239333,0.009980728,,,
1.095047899,-2.162239333,0.009921106,,,
1.17777904,-2.162239333,0.00986184,,,
1.260510182,-2.162239333,0.009802928,,,
1.343241323,-2.162239333,0.009744368,,,
1.425972465,-2.162239333,0.009686158,,,
1.508703606,-2.162239333,0.009628296,,,
1.591434747,-2.162239333,0.009570779,,,
1.674165889,-2.162239333,0.009513606,,,
1.75689703,-2.162239333,0.009456774,,,
1.839628172,-2.162239333,0.009400282,,,
1.922359313,-2.162239333,0.009344128,,,
2.005090455,-2.162239333,0.009288308,,,
2.087821596,-2.162239333,0.009232823,,,
2.170552737,-2.162239333,0.009177668,,,
2.253283879,-2.162239333,0.009122844,,,
2.33601502,-2.162239333,0.009068346,,,
2.418746162,-2.162239333,0.009014175,,,
2.501477303,-2.162239333,0.008960326,,,
2.584208444,-2.162239333,0.0089068,,,
2.666939586,-2.162239333,0.008853593,,,
2.749670727,-2.162239333,0.008800704,,,
2.832401869,-2.162239333,0.008748131,,,
2.91513301,-2.162239333,0.008695873,,,
2.997864152,-2.162239333,0.008643926,,,
3.080595293,-2.162239333,0.008592289,,,
3.163326434,-2.162239333,0.008540961,,,
3.246057576,-2.162239333,0.00848994,,,
3.328788717,-2.162239333,0.008439224,,,
3.411519859,-2.162239333,0.00838881,,,
3.494251,-2.162239333,0.008338698,,,
-4.696132,-2.067337,0.014758367,,,
-4.613400859,-2.067337,0.014673833,,,
-4.530669717,-2.067337,0.014589783,,,
-4.447938576,-2.067337,0.014506215,,,
-4.365207434,-2.067337,0.014423125,,,
-4.282476293,-2.067337,0.014340511,,,
-4.199745152,-2.067337,0.014258371,,,
-4.11701401,-2.067337,0.0141767,,,
-4.034282869,-2.067337,0.014095498,,,
-3.951551727,-2.067337,0.014014761,,,
-3.868820586,-2.067337,0.013934486,,,
-3.786089444,-2.067337,0.013854671,,,
-3.703358303,-2.067337,0.013775313,,,
-3.620627162,-2.067337,0.01369641,,,
-3.53789602,-2.067337,0.013617959,,,
-3.455164879,-2.067337,0.013539957,,,
-3.372433737,-2.067337,0.013462402,,,
-3.289702596,-2.067337,0.013385291,,,
-3.206971455,-2.067337,0.013308622,,,
-3.124240313,-2.067337,0.013232391,,,
-3.041509172,-2.067337,0.013156598,,,
-2.95877803,-2.067337,0.013081239,,,
-2.876046889,-2.067337,0.013006311,,,
-2.793315747,-2.067337,0.012931813,,,
-2.710584606,-2.067337,0.012857741,,,
-2.627853465,-2.067337,0.012784093,,,
-2.545122323,-2.067337,0.012710868,,,
-2.462391182,-2.067337,0.012638061,,,
-2.37966004,-2.067337,0.012565672,,,
-2.296928899,-2.067337,0.012493698,,,
-2.214197758,-2.067337,0.012422135,,,
-2.131466616,-2.067337,0.012350983,,,
-2.048735475,-2.067337,0.012280238,,,
-1.966004333,-2.067337,0.012209898,,,
-1.883273192,-2.067337,0.012139962,,,
-1.800542051,-2.067337,0.012070426,,,
-1.717810909,-2.067337,0.012001288,,,
-1.635079768,-2.067337,0.011932546,,,
-1.552348626,-2.067337,0.011864198,,,
-1.469617485,-2.067337,0.011796241,,,
-1.386886343,-2.067337,0.011728674,,,
-1.304155202,-2.067337,0.011661493,,,
-1.221424061,-2.067337,0.011594698,,,
-1.138692919,-2.067337,0.011528285,,,
-1.055961778,-2.067337,0.011462252,,,
-0.973230636,-2.067337,0.011396598,,,
-0.890499495,-2.067337,0.01133132,,,
-0.807768354,-2.067337,0.011266415,,,
-0.725037212,-2.067337,0.011201883,,,
-0.642306071,-2.067337,0.01113772,,,
-0.559574929,-2.067337,0.011073924,,,
-0.476843788,-2.067337,0.011010494,,,
-0.394112646,-2.067337,0.010947428,,,
-0.311381505,-2.067337,0.010884722,,,
-0.228650364,-2.067337,0.010822376,,,
-0.145919222,-2.067337,0.010760387,,,
-0.063188081,-2.067337,0.010698753,,,
0.019543061,-2.067337,0.010637472,,,
0.102274202,-2.067337,0.010576541,,,
0.185005343,-2.067337,0.01051596,,,
0.267736485,-2.067337,0.010455726,,,
0.350467626,-2.067337,0.010395837,,,
0.433198768,-2.067337,0.010336291,,,
0.515929909,-2.067337,0.010277086,,,
0.598661051,-2.067337,0.01021822,,,
0.681392192,-2.067337,0.010159692,,,
0.764123333,-2.067337,0.010101498,,,
0.846854475,-2.067337,0.010043638,,,
0.929585616,-2.067337,0.00998611,,,
1.012316758,-2.067337,0.00992891,,,
1.095047899,-2.067337,0.009872039,,,
1.17777904,-2.067337,0.009815493,,,
1.260510182,-2.067337,0.009759271,,,
1.343241323,-2.067337,0.009703371,,,
1.425972465,-2.067337,0.009647792,,,
1.508703606,-2.067337,0.00959253,,,
1.591434747,-2.067337,0.009537586,,,
1.674165889,-2.067337,0.009482955,,,
1.75689703,-2.067337,0.009428638,,,
1.839628172,-2.067337,0.009374632,,,
1.922359313,-2.067337,0.009320936,,,
2.005090455,-2.067337,0.009267546,,,
2.087821596,-2.067337,0.009214463,,,
2.170552737,-2.067337,0.009161684,,,
2.253283879,-2.067337,0.009109207,,,
2.33601502,-2.067337,0.009057031,,,
2.418746162,-2.067337,0.009005153,,,
2.501477303,-2.067337,0.008953573,,,
2.584208444,-2.067337,0.008902288,,,
2.666939586,-2.067337,0.008851297,,,
2.749670727,-2.067337,0.008800597,,,
2.832401869,-2.067337,0.008750189,,,
2.91513301,-2.067337,0.008700069,,,
2.997864152,-2.067337,0.008650236,,,
3.080595293,-2.067337,0.008600688,,,
3.163326434,-2.067337,0.008551425,,,
3.246057576,-2.067337,0.008502443,,,
3.328788717,-2.067337,0.008453742,,,
3.411519859,-2.067337,0.00840532,,,
3.494251,-2.067337,0.008357176,,,
-4.696132,-1.972434667,0.014433351,,,
-4.613400859,-1.972434667,0.014354228,,,
-4.530669717,-1.972434667,0.014275539,,,
-4.447938576,-1.972434667,0.014197281,,,
-4.365207434,-1.972434667,0.014119452,,,
-4.282476293,-1.972434667,0.014042049,,,
-4.199745152,-1.972434667,0.013965071,,,
-4.11701401,-1.972434667,0.013888515,,,
-4.034282869,-1.972434667,0.013812379,,,
-3.951551727,-1.972434667,0.01373666,,,
-3.868820586,-1.972434667,0.013661356,,,
-3.786089444,-1.972434667,0.013586465,,,
-3.703358303,-1.972434667,0.013511984,,,
-3.620627162,-1.972434667,0.013437912,,,
-3.53789602,-1.972434667,0.013364246,,,
-3.455164879,-1.972434667,0.013290984,,,
-3.372433737,-1.972434667,0.013218123,,,
-3.289702596,-1.972434667,0.013145662,,,
-3.206971455,-1.972434667,0.013073598,,,
-3.124240313,-1.972434667,0.013001929,,,
-3.041509172,-1.972434667,0.012930653,,,
-2.95877803,-1.972434667,0.012859767,,,
-2.876046889,-1.972434667,0.01278927,,,
-2.793315747,-1.972434667,0.01271916,,,
-2.710584606,-1.972434667,0.012649434,,,
-2.627853465,-1.972434667,0.01258009,,,
-2.545122323,-1.972434667,0.012511127,,,
-2.462391182,-1.972434667,0.012442541,,,
-2.37966004,-1.972434667,0.012374332,,,
-2.296928899,-1.972434667,0.012306496,,,
-2.214197758,-1.972434667,0.012239032,,,
-2.131466616,-1.972434667,0.012171938,,,
-2.048735475,-1.972434667,0.012105212,,,
-1.966004333,-1.972434667,0.012038852,,,
-1.883273192,-1.972434667,0.011972855,,,
-1.800542051,-1.972434667,0.01190722,,,
-1.717810909,-1.972434667,0.011841945,,,
-1.635079768,-1.972434667,0.011777028,,,
-1.552348626,-1.972434667,0.011712467,,,
-1.469617485,-1.972434667,0.01164826,,,
-1.386886343,-1.972434667,0.011584404,,,
-1.304155202,-1.972434667,0.011520899,,,
-1.221424061,-1.972434667,0.011457742,,,
-1.138692919,-1.972434667,0.011394931,,,
-1.055961778,-1.972434667,0.011332464,,,
-0.973230636,-1.972434667,0.01127034,,,
-0.890499495,-1.972434667,0.011208557,,,
-0.807768354,-1.972434667,0.011147112,,,
-0.725037212,-1.972434667,0.011086004,,,
-0.642306071,-1.972434667,0.011025231,,,
-0.559574929,-1.972434667,0.010964791,,,
-0.476843788,-1.972434667,0.010904682,,,
-0.394112646,-1.972434667,0.010844903,,,
-0.311381505,-1.972434667,0.010785452,,,
-0.228650364,-1.972434667,0.010726326,,,
-0.145919222,-1.972434667,0.010667525,,,
-0.063188081,-1.972434667,0.010609046,,,
0.019543061,-1.972434667,0.010550887,,,
0.102274202,-1.972434667,0.010493048,,,
0.185005343,-1.972434667,0.010435525,,,
0.267736485,-1.972434667,0.010378318,,,
0.350467626,-1.972434667,0.010321425,,,
0.433198768,-1.972434667,0.010264843,,,
0.515929909,-1.972434667,0.010208571,,,
0.598661051,-1.972434667,0.010152608,,,
0.681392192,-1.972434667,0.010096952,,,
0.764123333,-1.972434667,0.010041601,,,
0.846854475,-1.972434667,0.009986553,,,
0.929585616,-1.972434667,0.009931807,,,
1.012316758,-1.972434667,0.009877362,,,
1.095047899,-1.972434667,0.009823214,,,
1.17777904,-1.972434667,0.009769364,,,
1.260510182,-1.972434667,0.009715808,,,
1.343241323,-1.972434667,0.009662547,,,
1.425972465,-1.972434667,0.009609577,,,
1.508703606,-1.972434667,0.009556898,,,
1.591434747,-1.972434667,0.009504507,,,
1.674165889,-1.972434667,0.009452404,,,
1.75689703,-1.972434667,0.009400586,,,
1.839628172,-1.972434667,0.009349052,,,
1.922359313,-1.972434667,0.009297801,,,
2.005090455,-1.972434667,0.009246831,,,
2.087821596,-1.972434667,0.00919614,,,
2.170552737,-1.972434667,0.009145727,,,
2.253283879,-1.972434667,0.009095591,,,
2.33601502,-1.972434667,0.009045729,,,
2.418746162,-1.972434667,0.00899614,,,
2.501477303,-1.972434667,0.008946824,,,
2.584208444,-1.972434667,0.008897778,,,
2.666939586,-1.972434667,0.008849,,,
2.749670727,-1.972434667,0.008800491,,,
2.832401869,-1.972434667,0.008752247,,,
2.91513301,-1.972434667,0.008704267,,,
2.997864152,-1.972434667,0.008656551,,,
3.080595293,-1.972434667,0.008609096,,,
3.163326434,-1.972434667,0.008561901,,,
3.246057576,-1.972434667,0.008514965,,,
3.328788717,-1.972434667,0.008468286,,,
3.411519859,-1.972434667,0.008421863,,,
3.494251,-1.972434667,0.008375695,,,
-4.696132,-1.877532333,0.014115493,,,
-4.613400859,-1.877532333,0.014041584,,,
-4.530669717,-1.877532333,0.013968062,,,
-4.447938576,-1.877532333,0.013894926,,,
-4.365207434,-1.877532333,0.013822172,,,
-4.282476293,-1.877532333,0.013749799,,,
-4.199745152,-1.877532333,0.013677805,,,
-4.11701401,-1.877532333,0.013606188,,,
-4.034282869,-1.877532333,0.013534946,,,
-3.951551727,-1.877532333,0.013464077,,,
-3.868820586,-1.877532333,0.013393579,,,
-3.786089444,-1.877532333,0.013323451,,,
-3.703358303,-1.877532333,0.013253689,,,
-3.620627162,-1.877532333,0.013184293,,,
-3.53789602,-1.877532333,0.01311526,,,
-3.455164879,-1.877532333,0.013046589,,,
-3.372433737,-1.877532333,0.012978277,,,
-3.289702596,-1.877532333,0.012910323,,,
-3.206971455,-1.877532333,0.012842724,,,
-3.124240313,-1.877532333,0.01277548,,,
-3.041509172,-1.877532333,0.012708587,,,
-2.95877803,-1.877532333,0.012642045,,,
-2.876046889,-1.877532333,0.012575852,,,
-2.793315747,-1.877532333,0.012510004,,,
-2.710584606,-1.877532333,0.012444502,,,
-2.627853465,-1.877532333,0.012379343,,,
-2.545122323,-1.877532333,0.012314525,,,
-2.462391182,-1.877532333,0.012250046,,,
-2.37966004,-1.877532333,0.012185905,,,
-2.296928899,-1.877532333,0.012122099,,,
-2.214197758,-1.877532333,0.012058628,,,
-2.131466616,-1.877532333,0.011995489,,,
-2.048735475,-1.877532333,0.011932681,,,
-1.966004333,-1.877532333,0.011870201,,,
-1.883273192,-1.877532333,0.011808049,,,
-1.800542051,-1.877532333,0.011746222,,,
-1.717810909,-1.877532333,0.011684719,,,
-1.635079768,-1.877532333,0.011623538,,,
-1.552348626,-1.877532333,0.011562677,,,
-1.469617485,-1.877532333,0.011502135,,,
-1.386886343,-1.877532333,0.01144191,,,
-1.304155202,-1.877532333,0.011382,,,
-1.221424061,-1.877532333,0.011322404,,,
-1.138692919,-1.877532333,0.01126312,,,
-1.055961778,-1.877532333,0.011204146,,,
-0.973230636,-1.877532333,0.011145481,,,
-0.890499495,-1.877532333,0.011087123,,,
-0.807768354,-1.877532333,0.011029071,,,
-0.725037212,-1.877532333,0.010971323,,,
-0.642306071,-1.877532333,0.010913877,,,
-0.559574929,-1.877532333,0.010856732,,,
-0.476843788,-1.877532333,0.010799887,,,
-0.394112646,-1.877532333,0.010743338,,,
-0.311381505,-1.877532333,0.010687086,,,
-0.228650364,-1.877532333,0.010631129,,,
-0.145919222,-1.877532333,0.010575464,,,
-0.063188081,-1.877532333,0.010520091,,,
0.019543061,-1.877532333,0.010465008,,,
0.102274202,-1.877532333,0.010410213,,,
0.185005343,-1.877532333,0.010355705,,,
0.267736485,-1.877532333,0.010301483,,,
0.350467626,-1.877532333,0.010247544,,,
