est.River.dist.lake,est.Head.river.dist,est.beta,River.dist.lake,Euc.dist.lake,Head.river.dist,BD
0.6931472,5.332341,0.071832563,3.413784497,4.752320247,6.916100362,0.054792695
0.783353433,5.332341,0.072070176,5.488530796,5.380034049,8.118246196,0.031115841
0.873559667,5.332341,0.072307789,3.413784497,4.752320247,6.916100362,0.027368532
0.9637659,5.332341,0.072545402,6.709686415,6.520524361,8.118246196,0.03376551
1.053972133,5.332341,0.072783015,6.709686415,6.520524361,8.118246196,0.034994008
1.144178367,5.332341,0.073020629,3.93064847,2.190726496,6.32425143,0.055587985
1.2343846,5.332341,0.073258242,5.522862455,5.45841739,6.318714226,0.036396641
1.324590833,5.332341,0.073495855,4.67352661,4.622737857,5.532222152,0.047823103
1.414797067,5.332341,0.073733468,5.522862455,5.45841739,6.318714226,0.042831845
1.5050033,5.332341,0.073971081,6.101094617,6.006313149,6.464067132,0.042022078
1.595209533,5.332341,0.074208694,5.612617027,5.740169995,6.660395876,0.049622541
1.685415767,5.332341,0.074446307,0.979373574,1.942369161,5.732031147,0.052117763
1.775622,5.332341,0.07468392,0.979373574,1.942369161,5.732031147,0.050776569
1.865828233,5.332341,0.074921533,4.67352661,4.622737857,5.532222152,0.057268016
1.956034467,5.332341,0.075159147,6.101094617,6.006313149,6.464067132,0.043323201
2.0462407,5.332341,0.07539676,5.612617027,5.740169995,6.660395876,0.028097589
2.136446933,5.332341,0.075634373,3.93064847,2.190726496,6.32425143,0.028327717
2.226653167,5.332341,0.075871986,3.406828958,3.367881138,6.464067132,0.036711719
2.3168594,5.332341,0.076109599,3.406828958,3.367881138,6.464067132,0.043200488
2.407065633,5.332341,0.076347212,6.322334079,6.279698791,6.648185037,0.046461481
2.497271867,5.332341,0.076584825,5.488530796,5.380034049,8.118246196,0.041108462
2.5874781,5.332341,0.076822438,5.443528959,5.444124725,6.329939735,0.04069159
2.677684333,5.332341,0.077060051,5.443528959,5.444124725,6.329939735,0.030116814
2.767890567,5.332341,0.077297665,6.322334079,6.279698791,6.648185037,0.045477811
2.8580968,5.332341,0.077535278,3.954342877,3.57924501,6.526262752,0.100555361
2.948303033,5.332341,0.077772891,5.722228663,5.650108872,6.816107753,0.088176074
3.038509267,5.332341,0.078010504,1.415853163,2.695077775,7.289694477,0.067215934
3.1287155,5.332341,0.078248117,4.295962978,3.962377169,7.323251903,0.067946115
3.218921733,5.332341,0.07848573,4.295962978,4.47990941,7.337929819,0.084414864
3.309127967,5.332341,0.078723343,2.7970887,2.618361316,7.764302499,0.076115775
3.3993342,5.332341,0.078960956,6.327961369,6.109248252,7.971994256,0.096381956
3.489540433,5.332341,0.079198569,6.634102308,6.22428831,8.038903945,0.069006543
3.579746667,5.332341,0.079436183,1.913977102,2.591599385,8.094656511,0.045684514
3.6699529,5.332341,0.079673796,3.044522438,3.024376483,5.332341355,0.072733519
3.760159133,5.332341,0.079911409,5.213095124,5.20968975,5.91237675,0.094749579
3.850365367,5.332341,0.080149022,5.562983814,5.529857861,6.10148675,0.080029885
3.9405716,5.332341,0.080386635,4.92744934,5.02442699,6.795752185,0.034918855
4.030777833,5.332341,0.080624248,5.481560628,5.513423016,6.903983975,0.078446776
4.120984067,5.332341,0.080861861,6.081986975,6.100097414,7.084991352,0.069013533
4.2111903,5.332341,0.081099474,2.915209439,2.973641903,7.974739395,0.043035229
4.301396533,5.332341,0.081337087,5.385023075,5.541965342,8.010922442,0.074667794
4.391602767,5.332341,0.081574701,5.882541111,6.057438214,8.056521972,0.019970735
4.481809,5.332341,0.081812314,0.693147181,0.698599002,8.132354457,0.02045829
4.572015233,5.332341,0.082049927,3.433987204,3.399325254,8.123499099,0.030783298
4.662221467,5.332341,0.08228754,4.262679877,4.326535745,8.127789359,0.018183124
4.7524277,5.332341,0.082525153,2.105171393,2.42355998,8.168295347,0.031759748
4.842633933,5.332341,0.082762766,6.330054,6.452094908,8.317453955,0.051532629
4.932840167,5.332341,0.083000379,7.045628935,6.980538234,8.451345013,0.090332988
5.0230464,5.332341,0.083237992,2.985669983,1.988872959,8.621890831,0.043828035
5.113252633,5.332341,0.083475605,6.26109253,6.383448028,8.708782544,0.021969492
5.203458867,5.332341,0.083713219,6.897122227,6.921663352,8.782859329,0.031013342
5.2936651,5.332341,0.083950832,4.009707599,3.873062725,8.990609476,0.032974909
5.383871333,5.332341,0.084188445,5.182985103,5.128481421,9.005826104,0.024237865
5.474077567,5.332341,0.084426058,5.562979777,5.485369525,9.015883317,0.035360375
5.5642838,5.332341,0.084663671,4.751984601,4.682979386,6.600859807,0.050356697
5.654490033,5.332341,0.084901284,4.751984601,4.682979386,6.600859807,0.054186794
5.744696267,5.332341,0.085138897,4.751984601,4.682979386,6.600859807,0.061573352
5.8349025,5.332341,0.08537651,4.912054625,4.821531115,7.829163347,0.038109159
5.925108733,5.332341,0.085614124,4.912054625,4.821531115,7.829163347,0.028165497
6.015314967,5.332341,0.085851737,4.912054625,4.821531115,7.829163347,0.024611165
6.1055212,5.332341,0.08608935,4.751984601,4.682979386,6.600859807,0.03019996
6.195727433,5.332341,0.086326963,5.338057387,5.2736585,7.863960303,0.049844484
6.285933667,5.332341,0.086564576,5.338057387,5.2736585,7.863960303,0.062140074
6.3761399,5.332341,0.086802189,5.338057387,5.2736585,7.863960303,0.060584144
6.466346133,5.332341,0.087039802,6.301292479,6.351302372,7.863801231,0.031448089
6.556552367,5.332341,0.087277415,6.301292479,6.351302372,7.863801231,0.029509302
6.6467586,5.332341,0.087515028,6.301292479,6.351302372,7.863801231,0.024507728
6.736964833,5.332341,0.087752642,6.301292479,6.351302372,7.863801231,0.03848363
6.827171067,5.332341,0.087990255,3.562675348,3.317023992,6.835049044,0.034110833
6.9173773,5.332341,0.088227868,3.552364306,2.894248589,7.618305475,0.04235202
7.007583533,5.332341,0.088465481,3.711025515,3.595203606,7.619778511,0.036179401
7.097789767,5.332341,0.088703094,2.709153585,2.703025304,7.884122484,0.032206365
7.187996,5.332341,0.088940707,6.35235901,6.045632165,8.075154128,0.02529511
7.278202233,5.332341,0.08917832,7.238127426,6.957083993,8.301835179,0.023865402
7.368408467,5.332341,0.089415933,1.913977102,2.019268121,8.467634323,0.028708114
7.4586147,5.332341,0.089653546,5.271008619,5.234547036,8.507518102,0.036407382
7.548820933,5.332341,0.08989116,5.623511555,5.59346132,8.523991143,0.029124969
7.639027167,5.332341,0.090128773,3.623696312,4.27596576,8.579347718,0.031648845
7.7292334,5.332341,0.090366386,6.304640177,6.319286009,8.670817338,0.042254509
7.819439633,5.332341,0.090603999,5.705286806,5.561745888,5.470207816,0.187960156
7.909645867,5.332341,0.090841612,5.884093111,5.725559191,5.691489569,0.225768442
7.9998521,5.332341,0.091079225,1.565469306,3.213865056,6.253674765,0.114808012
8.090058333,5.332341,0.091316838,6.009183869,5.922665603,6.830950687,0.102369806
8.180264567,5.332341,0.091554451,3.347924645,3.406641582,6.956986803,0.091271814
8.2704708,5.332341,0.091792064,5.854555402,5.803525509,7.223178729,0.188510905
8.360677033,5.332341,0.092029678,5.615423214,5.187846335,6.761404673,0.036332444
8.450883267,5.332341,0.092267291,6.393207234,6.377406687,7.079180936,0.037888744
8.5410895,5.332341,0.092504904,6.798569961,6.768050173,7.303701525,0.025444929
8.631295733,5.332341,0.092742517,6.886249228,6.85553885,7.357523516,0.021774036
8.721501967,5.332341,0.09298013,7.269584165,7.215252781,7.613413077,0.031343482
8.8117082,5.332341,0.093217743,7.360192608,7.297430221,7.67849503,0.018142504
8.901914433,5.332341,0.093455356,3.557556445,3.644981118,7.912356135,0.019897292
8.992120667,5.332341,0.093692969,4.59494629,4.535500612,7.935488098,0.02303022
9.0823269,5.332341,0.093930582,5.471547918,5.462566383,7.983974618,0.018404669
9.172533133,5.332341,0.094168196,5.975461137,5.903427276,8.035728704,0.030044394
9.262739367,5.332341,0.094405809,6.25743184,6.203288344,8.076396191,0.025459401
9.3529456,5.332341,0.094643422,1.915288926,1.547562509,8.218093332,0.027817525
9.443151833,5.332341,0.094881035,4.077198403,3.989086147,8.218093332,0.019863736
9.533358067,5.332341,0.095118648,4.773945404,4.720055174,8.217433919,0.021077602
9.6235643,5.332341,0.095356261,2.546315278,0.741937345,8.288230547,0.026081091
0.6931472,5.380126414,0.071072002,4.324328216,3.784047478,8.281610139,0.024019218
