,est.Spatial,est.Com.Size.Gradient,est.n1,E_PC1,Com.Size.Gradient,SD,Spatial
7203,4.480924,3.293388424,11.19834377,,,,
7303,4.575826333,3.293388424,11.2906402,,,,
7403,4.670728667,3.293388424,11.38293662,,,,
7503,4.765631,3.293388424,11.47523305,,,,
7603,4.860533333,3.293388424,11.56752947,,,,
7703,4.955435667,3.293388424,11.6598259,,,,
7803,5.050338,3.293388424,11.75212232,,,,
7903,5.145240333,3.293388424,11.84441875,,,,
8003,5.240142667,3.293388424,11.93671517,,,,
8103,5.335045,3.293388424,12.0290116,,,,
8203,5.429947333,3.293388424,12.12130802,,,,
8303,5.524849667,3.293388424,12.21360445,,,,
8403,5.619752,3.293388424,12.30590088,,,,
8503,5.714654333,3.293388424,12.3981973,,,,
8603,5.809556667,3.293388424,12.49049373,,,,
8703,5.904459,3.293388424,12.58279015,,,,
8803,5.999361333,3.293388424,12.67508658,,,,
8903,6.094263667,3.293388424,12.767383,,,,
9003,6.189166,3.293388424,12.85967943,,,,
9103,6.284068333,3.293388424,12.95197585,,,,
9203,6.378970667,3.293388424,13.04427228,,,,
9303,6.473873,3.293388424,13.1365687,,,,
9403,6.568775333,3.293388424,13.22886513,,,,
9503,6.663677667,3.293388424,13.32116155,,,,
9603,6.75858,3.293388424,13.41345798,,,,
9703,6.853482333,3.293388424,13.50575441,,,,
9803,6.948384667,3.293388424,13.59805083,,,,
9903,7.043287,3.293388424,13.69034726,,,,
4,-2.352044,3.355039636,4.549418626,,,,
104,-2.257141667,3.355039636,4.640315149,,,,
204,-2.162239333,3.355039636,4.731211671,,,,
304,-2.067337,3.355039636,4.822108194,,,,
404,-1.972434667,3.355039636,4.913004716,,,,
504,-1.877532333,3.355039636,5.003901239,,,,
604,-1.78263,3.355039636,5.094797761,,,,
704,-1.687727667,3.355039636,5.185694283,,,,
804,-1.592825333,3.355039636,5.276590806,,,,
904,-1.497923,3.355039636,5.367487328,,,,
1004,-1.403020667,3.355039636,5.458383851,,,,
1104,-1.308118333,3.355039636,5.549280373,,,,
1204,-1.213216,3.355039636,5.640176896,,,,
1304,-1.118313667,3.355039636,5.731073418,,,,
1404,-1.023411333,3.355039636,5.82196994,,,,
1504,-0.928509,3.355039636,5.912866463,,,,
1604,-0.833606667,3.355039636,6.003762985,,,,
1704,-0.738704333,3.355039636,6.094659508,,,,
1804,-0.643802,3.355039636,6.18555603,,,,
1904,-0.548899667,3.355039636,6.276452553,,,,
2004,-0.453997333,3.355039636,6.367349075,,,,
2104,-0.359095,3.355039636,6.458245597,,,,
2204,-0.264192667,3.355039636,6.54914212,,,,
2304,-0.169290333,3.355039636,6.640038642,,,,
2404,-0.074388,3.355039636,6.730935165,,,,
2504,0.020514333,3.355039636,6.821831687,,,,
2604,0.115416667,3.355039636,6.912728209,,,,
2704,0.210319,3.355039636,7.003624732,,,,
2804,0.305221333,3.355039636,7.094521254,,,,
2904,0.400123667,3.355039636,7.185417777,,,,
3004,0.495026,3.355039636,7.276314299,,,,
3104,0.589928333,3.355039636,7.367210822,,,,
3204,0.684830667,3.355039636,7.458107344,,,,
3304,0.779733,3.355039636,7.549003866,,,,
3404,0.874635333,3.355039636,7.639900389,,,,
3504,0.969537667,3.355039636,7.730796911,,,,
3604,1.06444,3.355039636,7.821693434,,,,
3704,1.159342333,3.355039636,7.912589956,,,,
3804,1.254244667,3.355039636,8.003486479,,,,
3904,1.349147,3.355039636,8.094383001,,,,
4004,1.444049333,3.355039636,8.185279523,,,,
4104,1.538951667,3.355039636,8.276176046,,,,
4204,1.633854,3.355039636,8.367072568,,,,
4304,1.728756333,3.355039636,8.457969091,,,,
4404,1.823658667,3.355039636,8.548865613,,,,
4504,1.918561,3.355039636,8.639762136,,,,
4604,2.013463333,3.355039636,8.730658658,,,,
4704,2.108365667,3.355039636,8.82155518,,,,
4804,2.203268,3.355039636,8.912451703,,,,
4904,2.298170333,3.355039636,9.003348225,,,,
5004,2.393072667,3.355039636,9.094244748,,,,
5104,2.487975,3.355039636,9.18514127,,,,
5204,2.582877333,3.355039636,9.276037793,,,,
5304,2.677779667,3.355039636,9.366934315,,,,
5404,2.772682,3.355039636,9.457830837,,,,
5504,2.867584333,3.355039636,9.54872736,,,,
5604,2.962486667,3.355039636,9.639623882,,,,
5704,3.057389,3.355039636,9.730520405,,,,
5804,3.152291333,3.355039636,9.821416927,,,,
5904,3.247193667,3.355039636,9.912313449,,,,
6004,3.342096,3.355039636,10.00320997,,,,
6104,3.436998333,3.355039636,10.09410649,,,,
6204,3.531900667,3.355039636,10.18500302,,,,
6304,3.626803,3.355039636,10.27589954,,,,
6404,3.721705333,3.355039636,10.36679606,,,,
6504,3.816607667,3.355039636,10.45769258,,,,
6604,3.91151,3.355039636,10.54858911,,,,
6704,4.006412333,3.355039636,10.63948563,,,,
6804,4.101314667,3.355039636,10.73038215,,,,
6904,4.196217,3.355039636,10.82127867,,,,
7004,4.291119333,3.355039636,10.9121752,,,,
7104,4.386021667,3.355039636,11.00307172,,,,
7204,4.480924,3.355039636,11.09396824,,,,
7304,4.575826333,3.355039636,11.18486476,,,,
7404,4.670728667,3.355039636,11.27576129,,,,
7504,4.765631,3.355039636,11.36665781,,,,
7604,4.860533333,3.355039636,11.45755433,,,,
7704,4.955435667,3.355039636,11.54845085,,,,
7804,5.050338,3.355039636,11.63934738,,,,
7904,5.145240333,3.355039636,11.7302439,,,,
8004,5.240142667,3.355039636,11.82114042,,,,
8104,5.335045,3.355039636,11.91203694,,,,
8204,5.429947333,3.355039636,12.00293347,,,,
8304,5.524849667,3.355039636,12.09382999,,,,
8404,5.619752,3.355039636,12.18472651,,,,
8504,5.714654333,3.355039636,12.27562303,,,,
8604,5.809556667,3.355039636,12.36651955,,,,
8704,5.904459,3.355039636,12.45741608,,,,
8804,5.999361333,3.355039636,12.5483126,,,,
8904,6.094263667,3.355039636,12.63920912,,,,
9004,6.189166,3.355039636,12.73010564,,,,
9104,6.284068333,3.355039636,12.82100217,,,,
9204,6.378970667,3.355039636,12.91189869,,,,
9304,6.473873,3.355039636,13.00279521,,,,
9404,6.568775333,3.355039636,13.09369173,,,,
9504,6.663677667,3.355039636,13.18458826,,,,
9604,6.75858,3.355039636,13.27548478,,,,
9704,6.853482333,3.355039636,13.3663813,,,,
9804,6.948384667,3.355039636,13.45727782,,,,
9904,7.043287,3.355039636,13.54817435,,,,
5,-2.352044,3.416690848,4.545836111,,,,
105,-2.257141667,3.416690848,4.63533273,,,,
205,-2.162239333,3.416690848,4.724829349,,,,
305,-2.067337,3.416690848,4.814325969,,,,
405,-1.972434667,3.416690848,4.903822588,,,,
505,-1.877532333,3.416690848,4.993319208,,,,
605,-1.78263,3.416690848,5.082815827,,,,
705,-1.687727667,3.416690848,5.172312447,,,,
805,-1.592825333,3.416690848,5.261809066,,,,
905,-1.497923,3.416690848,5.351305686,,,,
1005,-1.403020667,3.416690848,5.440802305,,,,
1105,-1.308118333,3.416690848,5.530298924,,,,
1205,-1.213216,3.416690848,5.619795544,,,,
1305,-1.118313667,3.416690848,5.709292163,,,,
1405,-1.023411333,3.416690848,5.798788783,,,,
1505,-0.928509,3.416690848,5.888285402,,,,
1605,-0.833606667,3.416690848,5.977782022,,,,
1705,-0.738704333,3.416690848,6.067278641,,,,
1805,-0.643802,3.416690848,6.156775261,,,,
1905,-0.548899667,3.416690848,6.24627188,,,,
2005,-0.453997333,3.416690848,6.3357685,,,,
2105,-0.359095,3.416690848,6.425265119,,,,
2205,-0.264192667,3.416690848,6.514761738,,,,
2305,-0.169290333,3.416690848,6.604258358,,,,
2405,-0.074388,3.416690848,6.693754977,,,,
2505,0.020514333,3.416690848,6.783251597,,,,
2605,0.115416667,3.416690848,6.872748216,,,,
2705,0.210319,3.416690848,6.962244836,,,,
2805,0.305221333,3.416690848,7.051741455,,,,
2905,0.400123667,3.416690848,7.141238075,,,,
3005,0.495026,3.416690848,7.230734694,,,,
3105,0.589928333,3.416690848,7.320231314,,,,
3205,0.684830667,3.416690848,7.409727933,,,,
3305,0.779733,3.416690848,7.499224552,,,,
3405,0.874635333,3.416690848,7.588721172,,,,
3505,0.969537667,3.416690848,7.678217791,,,,
3605,1.06444,3.416690848,7.767714411,,,,
3705,1.159342333,3.416690848,7.85721103,,,,
3805,1.254244667,3.416690848,7.94670765,,,,
3905,1.349147,3.416690848,8.036204269,,,,
4005,1.444049333,3.416690848,8.125700889,,,,
4105,1.538951667,3.416690848,8.215197508,,,,
4205,1.633854,3.416690848,8.304694128,,,,
4305,1.728756333,3.416690848,8.394190747,,,,
4405,1.823658667,3.416690848,8.483687366,,,,
4505,1.918561,3.416690848,8.573183986,,,,
4605,2.013463333,3.416690848,8.662680605,,,,
4705,2.108365667,3.416690848,8.752177225,,,,
4805,2.203268,3.416690848,8.841673844,,,,
4905,2.298170333,3.416690848,8.931170464,,,,
5005,2.393072667,3.416690848,9.020667083,,,,
5105,2.487975,3.416690848,9.110163703,,,,
5205,2.582877333,3.416690848,9.199660322,,,,
5305,2.677779667,3.416690848,9.289156942,,,,
5405,2.772682,3.416690848,9.378653561,,,,
5505,2.867584333,3.416690848,9.46815018,,,,
5605,2.962486667,3.416690848,9.5576468,,,,
5705,3.057389,3.416690848,9.647143419,,,,
5805,3.152291333,3.416690848,9.736640039,,,,
5905,3.247193667,3.416690848,9.826136658,,,,
6005,3.342096,3.416690848,9.915633278,,,,
6105,3.436998333,3.416690848,10.0051299,,,,
6205,3.531900667,3.416690848,10.09462652,,,,
6305,3.626803,3.416690848,10.18412314,,,,
6405,3.721705333,3.416690848,10.27361976,,,,
6505,3.816607667,3.416690848,10.36311637,,,,
6605,3.91151,3.416690848,10.45261299,,,,
6705,4.006412333,3.416690848,10.54210961,,,,
6805,4.101314667,3.416690848,10.63160623,,,,
6905,4.196217,3.416690848,10.72110285,,,,
7005,4.291119333,3.416690848,10.81059947,,,,
7105,4.386021667,3.416690848,10.90009609,,,,
7205,4.480924,3.416690848,10.98959271,,,,
7305,4.575826333,3.416690848,11.07908933,,,,
7405,4.670728667,3.416690848,11.16858595,,,,
7505,4.765631,3.416690848,11.25808257,,,,
7605,4.860533333,3.416690848,11.34757919,,,,
7705,4.955435667,3.416690848,11.43707581,,,,
7805,5.050338,3.416690848,11.52657243,,,,
7905,5.145240333,3.416690848,11.61606905,,,,
8005,5.240142667,3.416690848,11.70556567,,,,
8105,5.335045,3.416690848,11.79506229,,,,
8205,5.429947333,3.416690848,11.88455891,,,,
8305,5.524849667,3.416690848,11.97405553,,,,
8405,5.619752,3.416690848,12.06355214,,,,
8505,5.714654333,3.416690848,12.15304876,,,,
8605,5.809556667,3.416690848,12.24254538,,,,
8705,5.904459,3.416690848,12.332042,,,,
8805,5.999361333,3.416690848,12.42153862,,,,
