est.Com.Size.Gradient,est.Spatial,est.beta,Com.Size.Gradient,Spatial,BD
3.170086,-2.352044,0.011196896,7.089678509,0.20229351,0.009693556
3.231737212,-2.352044,0.011201583,7.323915676,0.20229351,0.008994834
3.293388424,-2.352044,0.011206273,6.75671935,0.20229351,0.006863772
3.355039636,-2.352044,0.011210964,7.15587864,-2.196807688,0.016239672
3.416690848,-2.352044,0.011215658,5.351252085,-1.502966421,0.016140126
3.478342061,-2.352044,0.011220353,6.96389543,-1.224617394,0.006912192
3.539993273,-2.352044,0.01122505,8.566381524,0.20229351,0.010736344
3.601644485,-2.352044,0.01122975,5.992813772,2.346372778,0.010855027
3.663295697,-2.352044,0.011234451,6.77717696,1.263723302,0.0084948
3.724946909,-2.352044,0.011239154,7.02563832,1.250878503,0.009221001
3.786598121,-2.352044,0.011243859,5.97008552,1.0289624,0.010692385
3.848249333,-2.352044,0.011248566,6.213707603,0.700694378,0.008524988
3.909900545,-2.352044,0.011253276,6.822297396,2.081910545,0.006838596
3.971551758,-2.352044,0.011257987,6.782292061,0.517036371,0.008403045
4.03320297,-2.352044,0.0112627,6.812445099,-0.53789883,0.009299404
4.094854182,-2.352044,0.011267415,5.752672644,-1.327017682,0.007800836
4.156505394,-2.352044,0.011272132,7.072521905,-1.335640818,0.011867118
4.218156606,-2.352044,0.011276851,5.08769634,-1.873803486,0.009608436
4.279807818,-2.352044,0.011281572,6.980640954,2.442159324,0.006213114
4.34145903,-2.352044,0.011286295,6.521457239,2.055755577,0.005295628
4.403110242,-2.352044,0.01129102,7.177500669,1.764569718,0.00736426
4.464761455,-2.352044,0.011295747,4.871473232,2.319485486,0.007755195
4.526412667,-2.352044,0.011300476,6.993115128,1.492564592,0.006276693
4.588063879,-2.352044,0.011305207,6.933523031,0.794995786,0.009200088
4.649715091,-2.352044,0.01130994,9.273556012,1.686103732,0.011875597
4.711366303,-2.352044,0.011314674,5.265377518,0.422892536,0.008383041
4.773017515,-2.352044,0.011319411,7.467756745,-0.543823854,0.008739841
4.834668727,-2.352044,0.01132415,5.332818799,-0.489209182,0.006284604
4.896319939,-2.352044,0.011328891,5.217749469,-0.534404581,0.009036288
4.957971152,-2.352044,0.011333634,6.668963376,-0.556900427,0.007106355
5.019622364,-2.352044,0.011338378,5.663060485,-0.08614838,0.006912156
5.081273576,-2.352044,0.011343125,4.800014268,-0.392184885,0.011433426
5.142924788,-2.352044,0.011347874,4.069126759,-0.774360884,0.011152682
5.204576,-2.352044,0.011352625,4.969913305,-0.992205052,0.010735086
5.266227212,-2.352044,0.011357377,4.143234731,-1.403062153,0.013297827
5.327878424,-2.352044,0.011362132,3.450087551,-1.63615839,0.009403788
5.389529636,-2.352044,0.011366889,5.564620412,-1.658197854,0.013706838
5.451180848,-2.352044,0.011371647,4.871473232,-1.788673975,0.014195951
5.512832061,-2.352044,0.011376408,5.631311787,-2.123197134,0.012288265
5.574483273,-2.352044,0.011381171,6.534615323,1.319387752,0.004910193
5.636134485,-2.352044,0.011385935,5.886204037,2.788624494,0.008710144
5.697785697,-2.352044,0.011390702,6.950914773,2.23708901,0.009525409
5.759436909,-2.352044,0.011395471,7.102599361,0.233111892,0.008701582
5.821088121,-2.352044,0.011400241,8.493512668,-0.020137342,0.006934986
5.882739333,-2.352044,0.011405014,6.685960952,-0.032014447,0.00661485
5.944390545,-2.352044,0.011409789,7.692441525,-0.197749274,0.010314288
6.006041758,-2.352044,0.011414565,5.000684963,-0.610010843,0.015027118
6.06769297,-2.352044,0.011419344,4.639671618,-1.347885075,0.013754164
6.129344182,-2.352044,0.011424125,5.059525463,-2.018372656,0.015098961
6.190995394,-2.352044,0.011428907,5.766857279,-2.352043511,0.016097595
6.252646606,-2.352044,0.011433692,4.298795981,7.043286984,0.007875537
6.314297818,-2.352044,0.011438479,4.605170186,4.857881187,0.010295291
6.37594903,-2.352044,0.011443267,3.854864592,2.600419171,0.01165411
6.437600242,-2.352044,0.011448058,4.089704183,1.40134489,0.008480828
6.499251455,-2.352044,0.011452851,4.199705078,0.656067222,0.009836815
6.560902667,-2.352044,0.011457645,7.951820121,0.621745285,0.009920069
6.622553879,-2.352044,0.011462442,3.290334789,0.951251973,0.012637753
6.684205091,-2.352044,0.011467241,4.930031262,0.567533768,0.011315882
6.745856303,-2.352044,0.011472041,3.838691732,0.030516741,0.013408845
6.807507515,-2.352044,0.011476844,3.966090227,-0.059143656,0.00995814
6.869158727,-2.352044,0.011481649,4.266844381,-0.219389017,0.010900887
6.930809939,-2.352044,0.011486456,3.660708577,-0.370402798,0.010772741
6.992461152,-2.352044,0.011491264,5.736572298,-0.222591467,0.004817949
7.054112364,-2.352044,0.011496075,4.949547602,-0.180914716,0.008686311
7.115763576,-2.352044,0.011500888,4.735223314,-0.243642148,0.006403354
7.177414788,-2.352044,0.011505703,3.79423997,-0.357591857,0.006586863
7.239066,-2.352044,0.011510519,6.160653104,-0.412579888,0.006522927
7.300717212,-2.352044,0.011515338,8.28068918,-0.457059826,0.009586839
7.362368424,-2.352044,0.011520159,7.697222231,-0.434218783,0.007941173
7.424019636,-2.352044,0.011524982,7.786920878,-0.436871752,0.009479045
7.485670848,-2.352044,0.011529807,7.547657945,-0.444727336,0.010643624
7.547322061,-2.352044,0.011534634,8.175094042,-0.461327317,0.008245097
7.608973273,-2.352044,0.011539463,8.131530711,-0.492699481,0.006973762
7.670624485,-2.352044,0.011544294,8.108723574,-0.525787278,0.010916999
7.732275697,-2.352044,0.011549127,4.680071494,-0.48969721,0.007481045
7.793926909,-2.352044,0.011553962,5.837892404,-0.546561194,0.006917839
7.855578121,-2.352044,0.011558799,6.829192957,-0.621037684,0.006607877
7.917229333,-2.352044,0.011563638,7.279318835,-0.669250759,0.008033274
7.978880545,-2.352044,0.011568479,7.164763344,-0.704699026,0.007490515
8.040531758,-2.352044,0.011573322,5.291348697,-0.50581066,0.00592802
8.10218297,-2.352044,0.011578167,4.285647508,-1.25204478,0.008387229
8.163834182,-2.352044,0.011583014,4.850292644,-1.392224972,0.008183039
8.225485394,-2.352044,0.011587863,4.790573409,-1.466111769,0.00842914
8.287136606,-2.352044,0.011592714,3.854864592,-1.644288408,0.010503709
8.348787818,-2.352044,0.011597568,4.112693701,-1.959441207,0.009951161
8.41043903,-2.352044,0.011602423,3.170085661,-2.15993223,0.013203212
8.472090242,-2.352044,0.01160728,,,
8.533741455,-2.352044,0.011612139,,,
8.595392667,-2.352044,0.011617001,,,
8.657043879,-2.352044,0.011621864,,,
8.718695091,-2.352044,0.01162673,,,
8.780346303,-2.352044,0.011631597,,,
8.841997515,-2.352044,0.011636467,,,
8.903648727,-2.352044,0.011641338,,,
8.965299939,-2.352044,0.011646212,,,
9.026951152,-2.352044,0.011651087,,,
9.088602364,-2.352044,0.011655965,,,
9.150253576,-2.352044,0.011660845,,,
9.211904788,-2.352044,0.011665727,,,
9.273556,-2.352044,0.01167061,,,
3.170086,-2.257141667,0.011174074,,,
3.231737212,-2.257141667,0.01117732,,,
3.293388424,-2.257141667,0.011180567,,,
3.355039636,-2.257141667,0.011183815,,,
3.416690848,-2.257141667,0.011187064,,,
3.478342061,-2.257141667,0.011190314,,,
3.539993273,-2.257141667,0.011193565,,,
3.601644485,-2.257141667,0.011196817,,,
3.663295697,-2.257141667,0.01120007,,,
3.724946909,-2.257141667,0.011203324,,,
3.786598121,-2.257141667,0.011206578,,,
3.848249333,-2.257141667,0.011209834,,,
3.909900545,-2.257141667,0.011213091,,,
3.971551758,-2.257141667,0.011216348,,,
4.03320297,-2.257141667,0.011219607,,,
4.094854182,-2.257141667,0.011222866,,,
4.156505394,-2.257141667,0.011226127,,,
4.218156606,-2.257141667,0.011229388,,,
4.279807818,-2.257141667,0.01123265,,,
4.34145903,-2.257141667,0.011235914,,,
4.403110242,-2.257141667,0.011239178,,,
4.464761455,-2.257141667,0.011242443,,,
4.526412667,-2.257141667,0.011245709,,,
4.588063879,-2.257141667,0.011248976,,,
4.649715091,-2.257141667,0.011252244,,,
4.711366303,-2.257141667,0.011255513,,,
4.773017515,-2.257141667,0.011258783,,,
4.834668727,-2.257141667,0.011262054,,,
4.896319939,-2.257141667,0.011265326,,,
4.957971152,-2.257141667,0.011268598,,,
5.019622364,-2.257141667,0.011271872,,,
5.081273576,-2.257141667,0.011275147,,,
5.142924788,-2.257141667,0.011278422,,,
5.204576,-2.257141667,0.011281699,,,
5.266227212,-2.257141667,0.011284976,,,
5.327878424,-2.257141667,0.011288255,,,
5.389529636,-2.257141667,0.011291534,,,
5.451180848,-2.257141667,0.011294815,,,
5.512832061,-2.257141667,0.011298096,,,
5.574483273,-2.257141667,0.011301378,,,
5.636134485,-2.257141667,0.011304661,,,
5.697785697,-2.257141667,0.011307946,,,
5.759436909,-2.257141667,0.011311231,,,
5.821088121,-2.257141667,0.011314517,,,
5.882739333,-2.257141667,0.011317804,,,
5.944390545,-2.257141667,0.011321092,,,
6.006041758,-2.257141667,0.011324381,,,
6.06769297,-2.257141667,0.011327671,,,
6.129344182,-2.257141667,0.011330962,,,
6.190995394,-2.257141667,0.011334253,,,
6.252646606,-2.257141667,0.011337546,,,
6.314297818,-2.257141667,0.01134084,,,
6.37594903,-2.257141667,0.011344135,,,
6.437600242,-2.257141667,0.01134743,,,
6.499251455,-2.257141667,0.011350727,,,
6.560902667,-2.257141667,0.011354024,,,
6.622553879,-2.257141667,0.011357323,,,
6.684205091,-2.257141667,0.011360622,,,
6.745856303,-2.257141667,0.011363923,,,
6.807507515,-2.257141667,0.011367224,,,
6.869158727,-2.257141667,0.011370527,,,
6.930809939,-2.257141667,0.01137383,,,
6.992461152,-2.257141667,0.011377134,,,
7.054112364,-2.257141667,0.011380439,,,
7.115763576,-2.257141667,0.011383746,,,
7.177414788,-2.257141667,0.011387053,,,
7.239066,-2.257141667,0.011390361,,,
7.300717212,-2.257141667,0.01139367,,,
7.362368424,-2.257141667,0.01139698,,,
7.424019636,-2.257141667,0.011400291,,,
7.485670848,-2.257141667,0.011403603,,,
7.547322061,-2.257141667,0.011406916,,,
7.608973273,-2.257141667,0.01141023,,,
7.670624485,-2.257141667,0.011413545,,,
7.732275697,-2.257141667,0.01141686,,,
7.793926909,-2.257141667,0.011420177,,,
7.855578121,-2.257141667,0.011423495,,,
7.917229333,-2.257141667,0.011426814,,,
7.978880545,-2.257141667,0.011430133,,,
8.040531758,-2.257141667,0.011433454,,,
8.10218297,-2.257141667,0.011436775,,,
8.163834182,-2.257141667,0.011440098,,,
8.225485394,-2.257141667,0.011443422,,,
8.287136606,-2.257141667,0.011446746,,,
8.348787818,-2.257141667,0.011450071,,,
8.41043903,-2.257141667,0.011453398,,,
8.472090242,-2.257141667,0.011456725,,,
8.533741455,-2.257141667,0.011460054,,,
8.595392667,-2.257141667,0.011463383,,,
8.657043879,-2.257141667,0.011466713,,,
8.718695091,-2.257141667,0.011470044,,,
8.780346303,-2.257141667,0.011473377,,,
8.841997515,-2.257141667,0.01147671,,,
8.903648727,-2.257141667,0.011480044,,,
8.965299939,-2.257141667,0.011483379,,,
9.026951152,-2.257141667,0.011486715,,,
9.088602364,-2.257141667,0.011490052,,,
9.150253576,-2.257141667,0.01149339,,,
9.211904788,-2.257141667,0.011496729,,,
9.273556,-2.257141667,0.011500069,,,
3.170086,-2.162239333,0.011151298,,,
3.231737212,-2.162239333,0.011153109,,,
3.293388424,-2.162239333,0.01115492,,,
3.355039636,-2.162239333,0.011156732,,,
3.416690848,-2.162239333,0.011158544,,,
3.478342061,-2.162239333,0.011160356,,,
3.539993273,-2.162239333,0.011162168,,,
3.601644485,-2.162239333,0.011163981,,,
3.663295697,-2.162239333,0.011165794,,,
3.724946909,-2.162239333,0.011167607,,,
3.786598121,-2.162239333,0.011169421,,,
3.848249333,-2.162239333,0.011171235,,,
3.909900545,-2.162239333,0.011173049,,,
3.971551758,-2.162239333,0.011174864,,,
4.03320297,-2.162239333,0.011176679,,,
4.094854182,-2.162239333,0.011178494,,,
4.156505394,-2.162239333,0.011180309,,,
4.218156606,-2.162239333,0.011182125,,,
4.279807818,-2.162239333,0.011183941,,,
4.34145903,-2.162239333,0.011185757,,,
4.403110242,-2.162239333,0.011187574,,,
4.464761455,-2.162239333,0.011189391,,,
4.526412667,-2.162239333,0.011191208,,,
4.588063879,-2.162239333,0.011193025,,,
4.649715091,-2.162239333,0.011194843,,,
4.711366303,-2.162239333,0.011196661,,,
4.773017515,-2.162239333,0.011198479,,,
4.834668727,-2.162239333,0.011200298,,,
4.896319939,-2.162239333,0.011202117,,,
4.957971152,-2.162239333,0.011203936,,,
5.019622364,-2.162239333,0.011205756,,,
5.081273576,-2.162239333,0.011207576,,,
5.142924788,-2.162239333,0.011209396,,,
5.204576,-2.162239333,0.011211216,,,
5.266227212,-2.162239333,0.011213037,,,
5.327878424,-2.162239333,0.011214858,,,
5.389529636,-2.162239333,0.011216679,,,
5.451180848,-2.162239333,0.011218501,,,
5.512832061,-2.162239333,0.011220323,,,
5.574483273,-2.162239333,0.011222145,,,
5.636134485,-2.162239333,0.011223968,,,
5.697785697,-2.162239333,0.01122579,,,
5.759436909,-2.162239333,0.011227613,,,
5.821088121,-2.162239333,0.011229437,,,
5.882739333,-2.162239333,0.01123126,,,
5.944390545,-2.162239333,0.011233084,,,
6.006041758,-2.162239333,0.011234909,,,
6.06769297,-2.162239333,0.011236733,,,
6.129344182,-2.162239333,0.011238558,,,
6.190995394,-2.162239333,0.011240383,,,
6.252646606,-2.162239333,0.011242209,,,
6.314297818,-2.162239333,0.011244035,,,
6.37594903,-2.162239333,0.011245861,,,
6.437600242,-2.162239333,0.011247687,,,
6.499251455,-2.162239333,0.011249514,,,
6.560902667,-2.162239333,0.011251341,,,
6.622553879,-2.162239333,0.011253168,,,
6.684205091,-2.162239333,0.011254995,,,
6.745856303,-2.162239333,0.011256823,,,
6.807507515,-2.162239333,0.011258651,,,
6.869158727,-2.162239333,0.01126048,,,
6.930809939,-2.162239333,0.011262308,,,
6.992461152,-2.162239333,0.011264137,,,
7.054112364,-2.162239333,0.011265967,,,
7.115763576,-2.162239333,0.011267796,,,
7.177414788,-2.162239333,0.011269626,,,
7.239066,-2.162239333,0.011271456,,,
7.300717212,-2.162239333,0.011273287,,,
7.362368424,-2.162239333,0.011275118,,,
7.424019636,-2.162239333,0.011276949,,,
7.485670848,-2.162239333,0.01127878,,,
7.547322061,-2.162239333,0.011280612,,,
7.608973273,-2.162239333,0.011282444,,,
7.670624485,-2.162239333,0.011284276,,,
7.732275697,-2.162239333,0.011286109,,,
7.793926909,-2.162239333,0.011287942,,,
7.855578121,-2.162239333,0.011289775,,,
7.917229333,-2.162239333,0.011291608,,,
7.978880545,-2.162239333,0.011293442,,,
8.040531758,-2.162239333,0.011295276,,,
8.10218297,-2.162239333,0.011297111,,,
8.163834182,-2.162239333,0.011298945,,,
8.225485394,-2.162239333,0.01130078,,,
8.287136606,-2.162239333,0.011302616,,,
8.348787818,-2.162239333,0.011304451,,,
8.41043903,-2.162239333,0.011306287,,,
8.472090242,-2.162239333,0.011308123,,,
8.533741455,-2.162239333,0.01130996,,,
8.595392667,-2.162239333,0.011311796,,,
8.657043879,-2.162239333,0.011313633,,,
8.718695091,-2.162239333,0.011315471,,,
8.780346303,-2.162239333,0.011317308,,,
8.841997515,-2.162239333,0.011319146,,,
8.903648727,-2.162239333,0.011320985,,,
8.965299939,-2.162239333,0.011322823,,,
9.026951152,-2.162239333,0.011324662,,,
9.088602364,-2.162239333,0.011326501,,,
9.150253576,-2.162239333,0.011328341,,,
9.211904788,-2.162239333,0.01133018,,,
9.273556,-2.162239333,0.01133202,,,
3.170086,-2.067337,0.011128569,,,
3.231737212,-2.067337,0.011128951,,,
3.293388424,-2.067337,0.011129332,,,
3.355039636,-2.067337,0.011129714,,,
3.416690848,-2.067337,0.011130096,,,
3.478342061,-2.067337,0.011130478,,,
3.539993273,-2.067337,0.01113086,,,
3.601644485,-2.067337,0.011131241,,,
3.663295697,-2.067337,0.011131623,,,
3.724946909,-2.067337,0.011132005,,,
3.786598121,-2.067337,0.011132387,,,
3.848249333,-2.067337,0.011132769,,,
3.909900545,-2.067337,0.011133151,,,
3.971551758,-2.067337,0.011133533,,,
4.03320297,-2.067337,0.011133915,,,
4.094854182,-2.067337,0.011134297,,,
4.156505394,-2.067337,0.011134679,,,
4.218156606,-2.067337,0.011135061,,,
4.279807818,-2.067337,0.011135443,,,
4.34145903,-2.067337,0.011135825,,,
4.403110242,-2.067337,0.011136207,,,
4.464761455,-2.067337,0.011136589,,,
4.526412667,-2.067337,0.011136971,,,
4.588063879,-2.067337,0.011137353,,,
4.649715091,-2.067337,0.011137735,,,
4.711366303,-2.067337,0.011138117,,,
4.773017515,-2.067337,0.011138499,,,
4.834668727,-2.067337,0.011138881,,,
4.896319939,-2.067337,0.011139263,,,
4.957971152,-2.067337,0.011139645,,,
5.019622364,-2.067337,0.011140027,,,
5.081273576,-2.067337,0.01114041,,,
5.142924788,-2.067337,0.011140792,,,
5.204576,-2.067337,0.011141174,,,
5.266227212,-2.067337,0.011141556,,,
5.327878424,-2.067337,0.011141938,,,
5.389529636,-2.067337,0.011142321,,,
5.451180848,-2.067337,0.011142703,,,
5.512832061,-2.067337,0.011143085,,,
5.574483273,-2.067337,0.011143467,,,
5.636134485,-2.067337,0.01114385,,,
5.697785697,-2.067337,0.011144232,,,
5.759436909,-2.067337,0.011144614,,,
5.821088121,-2.067337,0.011144997,,,
5.882739333,-2.067337,0.011145379,,,
5.944390545,-2.067337,0.011145761,,,
6.006041758,-2.067337,0.011146144,,,
6.06769297,-2.067337,0.011146526,,,
6.129344182,-2.067337,0.011146908,,,
6.190995394,-2.067337,0.011147291,,,
6.252646606,-2.067337,0.011147673,,,
6.314297818,-2.067337,0.011148056,,,
6.37594903,-2.067337,0.011148438,,,
6.437600242,-2.067337,0.01114882,,,
6.499251455,-2.067337,0.011149203,,,
6.560902667,-2.067337,0.011149585,,,
6.622553879,-2.067337,0.011149968,,,
6.684205091,-2.067337,0.01115035,,,
6.745856303,-2.067337,0.011150733,,,
6.807507515,-2.067337,0.011151115,,,
6.869158727,-2.067337,0.011151498,,,
6.930809939,-2.067337,0.01115188,,,
6.992461152,-2.067337,0.011152263,,,
7.054112364,-2.067337,0.011152646,,,
7.115763576,-2.067337,0.011153028,,,
7.177414788,-2.067337,0.011153411,,,
7.239066,-2.067337,0.011153793,,,
7.300717212,-2.067337,0.011154176,,,
7.362368424,-2.067337,0.011154559,,,
7.424019636,-2.067337,0.011154941,,,
7.485670848,-2.067337,0.011155324,,,
7.547322061,-2.067337,0.011155707,,,
7.608973273,-2.067337,0.011156089,,,
7.670624485,-2.067337,0.011156472,,,
7.732275697,-2.067337,0.011156855,,,
7.793926909,-2.067337,0.011157238,,,
7.855578121,-2.067337,0.01115762,,,
7.917229333,-2.067337,0.011158003,,,
7.978880545,-2.067337,0.011158386,,,
8.040531758,-2.067337,0.011158769,,,
8.10218297,-2.067337,0.011159151,,,
8.163834182,-2.067337,0.011159534,,,
8.225485394,-2.067337,0.011159917,,,
8.287136606,-2.067337,0.0111603,,,
8.348787818,-2.067337,0.011160683,,,
8.41043903,-2.067337,0.011161066,,,
8.472090242,-2.067337,0.011161449,,,
8.533741455,-2.067337,0.011161831,,,
8.595392667,-2.067337,0.011162214,,,
8.657043879,-2.067337,0.011162597,,,
8.718695091,-2.067337,0.01116298,,,
8.780346303,-2.067337,0.011163363,,,
8.841997515,-2.067337,0.011163746,,,
8.903648727,-2.067337,0.011164129,,,
8.965299939,-2.067337,0.011164512,,,
9.026951152,-2.067337,0.011164895,,,
9.088602364,-2.067337,0.011165278,,,
9.150253576,-2.067337,0.011165661,,,
9.211904788,-2.067337,0.011166044,,,
9.273556,-2.067337,0.011166427,,,
3.170086,-1.972434667,0.011105886,,,
3.231737212,-1.972434667,0.011104844,,,
3.293388424,-1.972434667,0.011103803,,,
3.355039636,-1.972434667,0.011102762,,,
3.416690848,-1.972434667,0.011101721,,,
3.478342061,-1.972434667,0.01110068,,,
3.539993273,-1.972434667,0.011099639,,,
3.601644485,-1.972434667,0.011098598,,,
3.663295697,-1.972434667,0.011097557,,,
3.724946909,-1.972434667,0.011096516,,,
3.786598121,-1.972434667,0.011095476,,,
3.848249333,-1.972434667,0.011094435,,,
3.909900545,-1.972434667,0.011093395,,,
3.971551758,-1.972434667,0.011092355,,,
4.03320297,-1.972434667,0.011091314,,,
4.094854182,-1.972434667,0.011090274,,,
4.156505394,-1.972434667,0.011089234,,,
4.218156606,-1.972434667,0.011088194,,,
4.279807818,-1.972434667,0.011087155,,,
4.34145903,-1.972434667,0.011086115,,,
4.403110242,-1.972434667,0.011085075,,,
4.464761455,-1.972434667,0.011084036,,,
4.526412667,-1.972434667,0.011082996,,,
4.588063879,-1.972434667,0.011081957,,,
4.649715091,-1.972434667,0.011080918,,,
4.711366303,-1.972434667,0.011079879,,,
4.773017515,-1.972434667,0.01107884,,,
4.834668727,-1.972434667,0.011077801,,,
4.896319939,-1.972434667,0.011076762,,,
4.957971152,-1.972434667,0.011075723,,,
5.019622364,-1.972434667,0.011074685,,,
5.081273576,-1.972434667,0.011073646,,,
5.142924788,-1.972434667,0.011072608,,,
5.204576,-1.972434667,0.011071569,,,
5.266227212,-1.972434667,0.011070531,,,
5.327878424,-1.972434667,0.011069493,,,
5.389529636,-1.972434667,0.011068455,,,
5.451180848,-1.972434667,0.011067417,,,
5.512832061,-1.972434667,0.011066379,,,
5.574483273,-1.972434667,0.011065341,,,
5.636134485,-1.972434667,0.011064304,,,
5.697785697,-1.972434667,0.011063266,,,
5.759436909,-1.972434667,0.011062229,,,
5.821088121,-1.972434667,0.011061191,,,
5.882739333,-1.972434667,0.011060154,,,
5.944390545,-1.972434667,0.011059117,,,
6.006041758,-1.972434667,0.01105808,,,
6.06769297,-1.972434667,0.011057043,,,
6.129344182,-1.972434667,0.011056006,,,
6.190995394,-1.972434667,0.011054969,,,
6.252646606,-1.972434667,0.011053932,,,
6.314297818,-1.972434667,0.011052896,,,
6.37594903,-1.972434667,0.011051859,,,
6.437600242,-1.972434667,0.011050823,,,
6.499251455,-1.972434667,0.011049787,,,
6.560902667,-1.972434667,0.01104875,,,
6.622553879,-1.972434667,0.011047714,,,
6.684205091,-1.972434667,0.011046678,,,
6.745856303,-1.972434667,0.011045642,,,
6.807507515,-1.972434667,0.011044607,,,
6.869158727,-1.972434667,0.011043571,,,
6.930809939,-1.972434667,0.011042535,,,
6.992461152,-1.972434667,0.0110415,,,
7.054112364,-1.972434667,0.011040464,,,
7.115763576,-1.972434667,0.011039429,,,
7.177414788,-1.972434667,0.011038394,,,
7.239066,-1.972434667,0.011037359,,,
7.300717212,-1.972434667,0.011036324,,,
7.362368424,-1.972434667,0.011035289,,,
7.424019636,-1.972434667,0.011034254,,,
7.485670848,-1.972434667,0.011033219,,,
7.547322061,-1.972434667,0.011032184,,,
7.608973273,-1.972434667,0.01103115,,,
7.670624485,-1.972434667,0.011030115,,,
7.732275697,-1.972434667,0.011029081,,,
7.793926909,-1.972434667,0.011028047,,,
7.855578121,-1.972434667,0.011027013,,,
7.917229333,-1.972434667,0.011025979,,,
